id,comment_text,task_1,task_2,task_3
1133388798925189122,deutsche rothaarige porno reife deutsche frauen porno deutsche politessen pornos porno deutsch inzets ,NOT,NONE,hasoc_2020_de_2684
1131117000279961600,lehrst ck auch wie in der linken jammerfeministinnenbubble mit keinem wort erw hnt wird und werden darf was das ,HOF,NONE,hasoc_2020_de_2440
1127134592517980161,rt die deutsche klimaaktivistin luisa neubauer wirft kanzlerin merkel wegen ihrer fehlenden unterst tzung den europ ischen kl ,NOT,NONE,hasoc_2020_de_1042
1128897106171842560,jeden morgen eine neue fahrzeugst rung ihr seid einfach nur zum kotzen ,NOT,NONE,hasoc_2020_de_774
1123576753199484928,die inkas hatten sich schon mlich angestellt bei den spanischen eindringlingen aber der deutsche toppt dann doch alles ,NOT,NONE,hasoc_2020_de_559
1128743783393312768,rt leute die boar schreiben lassen sich bestimmt auch von ihren analphabetischen vater in arsch ficken ,HOF,NONE,hasoc_2020_de_1969
1134139256375525376,ich habe mir gerade diese dorne aus meinem arsch gezogen ,NOT,PRFN,hasoc_2020_de_2926
1132759271618293761,rt er ist einfach der goat ,NOT,NONE,hasoc_2020_de_2994
1131107693123526657,kfm deutsche mittelstand ag deutscher mittelstandsanleihen fonds zeichnet neue h rmann anleihe mit mindest kupon 4 ,NOT,NONE,hasoc_2020_de_1574
1133093570229997573,ich will jetzt nicht offenden oder so ich will einfach nur das die schei weniger wird ,NOT,PRFN,hasoc_2020_de_1480
1126898700683501569,rt einfach skandal ,NOT,NONE,hasoc_2020_de_3224
1128386596452085760,das geht nicht doch zugreifen ach halt doch die fresse schei werbung ,NOT,PRFN,hasoc_2020_de_410
1124322999551840256,ja touchbar da kotzen die meisten unn tig wie sau xcode seit 2003 aber egal ,NOT,NONE,hasoc_2020_de_3441
1123489897548001281,xxl weights pack v1 1 1 0 fs19 ,NOT,NONE,hasoc_2020_de_1685
1128294539872165889,1 2 3 agora ist etwas z ,NOT,NONE,hasoc_2020_de_2215
1130919100451106819,deutsche lesben free deutsches ehepaar fickt porno deutscher porno ffentlichkeit free porno muschilecken deutsch ,HOF,PRFN,hasoc_2020_de_3404
1129884743137398784,rt armselig peinlich und dumm thumbs down esc2019 iceland ,HOF,OFFN,hasoc_2020_de_1996
1127236438624473089,1 waren es 2 2 musst du nicht aber hat halt eh keinen effekt 3 ist der sieg immernoch eher lucky als verdient ,NOT,NONE,hasoc_2020_de_3198
1132021174773460992,da ist nichts mehr zu retten hirn schon gar nicht wo nichts ist kann nichts werden ,NOT,NONE,hasoc_2020_de_1803
1124358286218649602,ggest movies plz ty gt ,NOT,NONE,hasoc_2020_de_2391
1132029215279394818,ja ok du arsch ,HOF,PRFN,hasoc_2020_de_1228
1131180745324728320,wenn man ihnen eine rperverletzung antut wird man hoffentlich genauso handeln und ter opfer ,HOF,NONE,hasoc_2020_de_2683
1128638657353650177,rt merkel muss weg darf bei kundgebug in wuppertal nicht gerufen werden willkommen in der dunklen zeit repression ,NOT,NONE,hasoc_2020_de_1618
1125703697332350981,und linke journalisten wollen die humanit re aufnahme von fl chtlingen halt nur nicht in ihrer wohngege ,NOT,NONE,hasoc_2020_de_2427
1131536384542629889,was haben die beiden kopalken nur i am kopf ,NOT,NONE,hasoc_2020_de_1804
1132713729852870661,die hasselfeld wahlkampfhelferin der gr nen ,NOT,NONE,hasoc_2020_de_1970
1131482508711874560,gescher christdemokrat chte dass g nse aus dem naturschutzgebiet berkeltal verschwinden dreck ,NOT,NONE,hasoc_2020_de_776
1133037848913960963,desnudas xxx gratis deutsche schwgerin porno italiani porno gratis canal chat gratis ,HOF,NONE,hasoc_2020_de_2755
1127483176929116160,so ist es der islam ist keine religion des friedens ,HOF,HATE,hasoc_2020_de_3043
1127626345285136384,wie dumm kann man eigentlich sein ,NOT,NONE,hasoc_2020_de_2820
1130853572814393345,porno estar gratis unterwrfige deutsche frauen porno mutter fisten sexy mdchen in hotpants ,HOF,PRFN,hasoc_2020_de_759
1123649289463451648,ich beziehe mich nicht nur auf die ddr sozialistische system waren schon immer unproduktiv und ,NOT,NONE,hasoc_2020_de_2431
1133836125641105408,wir halt einfach immer ,NOT,NONE,hasoc_2020_de_3466
1125537229575806976,ohne scheiss das is doch einfach unfair ,NOT,NONE,hasoc_2020_de_1268
1131886101415759873,rt niemand vertrau mir niemand nichtmal merkel deutsche kinder von afd hlern ,NOT,NONE,hasoc_2020_de_520
1125064237922045953,rt da anscheinend ein haufen idioten sind die momentan auf zuruf von afd bots leute wie oder ,NOT,NONE,hasoc_2020_de_2861
1123704385861824512,ist es nicht extrem dumm zeit geld zu verkaufen arbeitskraft stundenlohn zeit ist es nicht erb rmlich wisse ,NOT,NONE,hasoc_2020_de_3475
1129724864649150465,nwbrb58 ausfall osnabr ck hbf ab 13 26 gt delmenhorst an 15 24 am 18 05 2019 grund fahrzeugst rung ,NOT,NONE,hasoc_2020_de_1920
1131183823948013569,wirst schon noch deinen versorgungsposten bekommen so wie jeder hartn ckige karrierist ab ,NOT,NONE,hasoc_2020_de_474
1127239156508311557,nazis waren schon immer linke halt miese sozialisten wie die antifanten der kriminellen antifa ,HOF,HATE,hasoc_2020_de_548
1128056961906413568,rt benziner dreckiger als diesel schon aber stimmt das auch noch mehr dazu ,NOT,NONE,hasoc_2020_de_3163
1128589927934042112,ich hab halt berall wireless charging pads sau dumm grinning with sweat ,NOT,NONE,hasoc_2020_de_2813
1133741065901608961,rt ich bin daf dass die gr nen das gescho ertragen ,NOT,NONE,hasoc_2020_de_1035
1130112447690530816,rt deutsche regierung st rzt ausl ndische regierung und feiert das ihr deutschen 87 kotzt mich so an ihr ,NOT,HATE,hasoc_2020_de_2368
1134362607249448960,wie kann man nur so dumm sein tears of joy ,NOT,NONE,hasoc_2020_de_3140
1128223819708162049,hier nach belieben auch politik er einf gen ,NOT,NONE,hasoc_2020_de_2663
1129130045224685572,schlagabtausch i am zdf regierungsgesteuerte scheisse mit dementsprechendem publikum vor ort ,HOF,OFFN,hasoc_2020_de_1266
1123557279037644801,ich verleih nie wieder mein schei crusher ,NOT,PRFN,hasoc_2020_de_874
1131663094458003456,rt deutsche carpool karaoke dotheyknowitseurope ,NOT,NONE,hasoc_2020_de_1344
1131180690777751552,welt horst seehofer ndigt kriminellen clans den kampf an welt horst seehofer ndigt kriminellen clans den kamp ,NOT,NONE,hasoc_2020_de_1282
1125641143490895872,rt zum kotzen ,NOT,NONE,hasoc_2020_de_2590
1131966011295584256,rt mero ist ein hurensohn ,HOF,PRFN,hasoc_2020_de_2658
1133326932911808512,wenn du schon seit knapp 10 monaten mit einem kollegen zusammen arbeitest nie ein wort deutsch mit ihm sprachst ,NOT,NONE,hasoc_2020_de_1062
1128699319576612864,einfach kein assi sein der i am kreisel nicht blinkt und auf der autobahn re blinken auch vorteilhaft ,NOT,NONE,hasoc_2020_de_2822
1125431663163531264,hab glaube echt gerade den gr ten hurensohn busfahrer deutschlands ,HOF,OFFN,hasoc_2020_de_1305
1125778708260896770,rt evp spitzenkandidat weber will europa einen europawahl2019 weber wahlarena ,NOT,NONE,hasoc_2020_de_1254
1124427395782643712,warum haben linke politiker eigentlich kaum ein richtiges berufsleben ,NOT,NONE,hasoc_2020_de_94
1131875879913742337,aaaain gabriel smiling with heart eyes ,NOT,NONE,hasoc_2020_de_2946
1129105403709743104,h rt sich an wie hintergrundmusik mobilfunkwerbung escorf ,NOT,NONE,hasoc_2020_de_1384
1126030790100434944,ist der echt mit der zusammen ,NOT,NONE,hasoc_2020_de_944
1132576718722617344,rt aufruf zum ficken da er seit ber 3 monaten keinen echten schwanz mehr i am arsch hatte wird eine geiler top ,HOF,PRFN,hasoc_2020_de_336
1130882173794496512,damit wir vor scheisse bewahrt werden fusionbleibt ,NOT,PRFN,hasoc_2020_de_2289
1132919389169291265,machen doch alle privaten medien so ,NOT,NONE,hasoc_2020_de_1916
1134044712552357888,ja ist halt echt ,NOT,NONE,hasoc_2020_de_923
1125980915635773440,rt als gegenbeispiel gibt es ein video in dem gezeigt wird wie die deuropetsche bundeskanzlerin namens merkel ,NOT,NONE,hasoc_2020_de_260
1126848356435865600,900 000 deutsche fl chtlinge i am europe ausland ,NOT,NONE,hasoc_2020_de_1943
1125744075880136704,alerte ruche4 poids 10 2kg gt infos gt 14 47 56 ,NOT,NONE,hasoc_2020_de_154
1132456476415541248,was soll dieser schei man ,NOT,NONE,hasoc_2020_de_3088
1131482424809054208,rt die linken schl gertrupps sind wieder in deutschland unterwegs unserwir ,NOT,NONE,hasoc_2020_de_217
1124999989590147075,rt und man h rt diese ganzen elektro dinger nicht ich stelle mich schon heute auf das geheule ein wenn leut ,NOT,NONE,hasoc_2020_de_2137
1133839673988718592,rachs chtige frauen es gibt hasserf llte frauen frauen die betr gen und gen h rt auf eure mysogynie hinte ,NOT,NONE,hasoc_2020_de_1965
1123511443687727104,rt frau merkel es bewegt mich dass sie noch immer nicht vor gericht stehen und tats chlich noch kanzlerin sind ,HOF,NONE,hasoc_2020_de_167
1132931582032076800,die arroganz der leute aus den westlichen bundesl ndern ist so ekelhaft und absto end ich nnt kotzen wie kann ,HOF,NONE,hasoc_2020_de_1886
1124444323997716480,hey sorry das ich so overreacted habe kenn das deutsche wort overreact nicht sry grinning with sweat can you pls for ,NOT,NONE,hasoc_2020_de_1962
1125147385791942656,rt radikale moslems und nationalistische rken die verschwiegenenen hler der gr nen ,HOF,HATE,hasoc_2020_de_2217
1134550809855844352,die haben sich mit der zeit schon selbst entsorgt ,NOT,NONE,hasoc_2020_de_762
1124388900464676864,siege gt cod ,NOT,NONE,hasoc_2020_de_227
1133480201197948929,rt keiner redet vom wetter nur wir die gr nen sitzen jetzt ihrerseits in der klimafalle radiale ma nahmen sind h bsche for ,NOT,NONE,hasoc_2020_de_59
1130111608838139907,politiker kriegen bestimmt wieder extrarechte ,NOT,NONE,hasoc_2020_de_2573
1124744715868549121,die bigotterie von gr nen ist kaum aushaltbar fck nazis auf den plakaten aber neben ihnen stehen und flyer verteil ,NOT,NONE,hasoc_2020_de_980
1130096303801872384,arsch ,NOT,NONE,hasoc_2020_de_792
1131161308911398913,einfach nur aus zeitvertreib ,NOT,NONE,hasoc_2020_de_1069
1133436311979868161,hilfe diese frau was befindet sich in ihrem kopf an der stelle wo normale menschen ein hirn haben ,HOF,OFFN,hasoc_2020_de_2052
1124546006505357312,rt keine zusammenarbeit mit rechten parteien also geh rt merkel einer linken partei an oder was soll das hei en ,NOT,NONE,hasoc_2020_de_3433
1129294617134784514,gutschein 50 rebelita fleecepulover frauen ,NOT,NONE,hasoc_2020_de_1435
1129510569256587264,hofheim hobbyhure sucht taschengeld anna zarte st te zarte deutsche st te will ,HOF,PRFN,hasoc_2020_de_2513
1132621144824139776,die hler sind halt zu dumm sodass wir ihnen unsere positionen nicht vermitteln konnten diese verachtung si ,HOF,HATE,hasoc_2020_de_862
1125732050818994176,benutze dein gehirn niemand hat mich bezahlt educaaunfifi ,NOT,NONE,hasoc_2020_de_682
1124636523788406784,rt das neue logo ist auch schon fertig ,NOT,NONE,hasoc_2020_de_2005
1132616921155743745,lieben heteros jetz habter richtig schei am arsch etzala fliegt ihr raus ,NOT,NONE,hasoc_2020_de_1763
1134560620349706240,was soll dieses gequatsche von nazis wer gegen illegale migration und linken gesinnungsterror ist ,NOT,NONE,hasoc_2020_de_3104
1134399169010065408,schei alki ,HOF,PRFN,hasoc_2020_de_2162
1128376953747247105,deutsche kultur ,NOT,NONE,hasoc_2020_de_2690
1128709427824136192,bin halt aber schon tip top motivator ,NOT,NONE,hasoc_2020_de_380
1134189608986710021,wo sitzt dieser schlaumeier der alle idioten dieser welt die reden schreibt ,HOF,NONE,hasoc_2020_de_2475
1128390300026789888,ich hasse meine eltern ohne spass diese dummen hurensohne ich bin fucking 14 und die heulen rum wenn ich eine fuxki ,HOF,PRFN,hasoc_2020_de_1320
1127530950055874561,schei bauchschmerzen ,NOT,NONE,hasoc_2020_de_2707
1132663154943700997,wer tritt denn heute von den dt politikern noch zur ck demnach h tte merkel schon vor ,NOT,NONE,hasoc_2020_de_2890
1132690636027641857,rt wer hlte die gr nen bei der europawahl2019 ,NOT,NONE,hasoc_2020_de_2065
1125638278768680960,lass linken ,NOT,NONE,hasoc_2020_de_870
1127788065081188352,merkel hat deutschland abgehakt es interessiert sie einfach nicht mehr sie reist ein bisschen durch die welt und ,NOT,NONE,hasoc_2020_de_3504
1128675315574870016,alkohol und schwangerschaft noch nicht geboren schon betrunken ,NOT,NONE,hasoc_2020_de_2792
1134102967248965633,rt der kern der gr nen p do und nekrosex sekte was ist das doch ein widerliches geschmei die gr nen ssen weg h ,HOF,PRFN,hasoc_2020_de_95
1127310656829624323,rt trump war i am dezember in deutschland ohne merkel und maas berhaupt bescheid zu geben jetzt versetzt pompeo ,NOT,NONE,hasoc_2020_de_664
1129060973451644929,lner stadt anzeiger martin schulz wirft merkel unt tigkeit europa vor skandal dass sie am euro ,NOT,NONE,hasoc_2020_de_1882
1125010013955788800,rt wenn ich blumenkohl zubereite muss ich immer vorstellen dass ich ein gehirn seziere und das werte kolleginnen und kolleg ,NOT,NONE,hasoc_2020_de_883
