id,comment_text,task_1,task_2,task_3
1123733301397733380,rt when you are from the bay but you are really newyork nigga at heart ,HOF,PRFN,hasoc_2020_en_3627
1123734094108659712,rt dear democrats the american people aren stupid they know what spying is and no amount of gaslighting will change ,NOT,NONE,hasoc_2020_en_3108
1126951188170199049,rt he ain on drugs he just bored i be doing the same shit when i bored tears of joy ,NOT,PRFN,hasoc_2020_en_3986
1126863510447710208,rt summer 19 i coming for you no boring shit beach days road trips kickbacks and hot days i ready i ready i ,NOT,NONE,hasoc_2020_en_5152
1123631027455393792,turn that shit off ,HOF,PRFN,hasoc_2020_en_4256
1130184942066065408,rt i know fuck bout cel shading so have some horny instead ,HOF,PRFN,hasoc_2020_en_3821
1130341062420172800,lemme go into this breakdown rq hol up ,HOF,NONE,hasoc_2020_en_4692
1130232518056108032,polo ts the only other ones but that if you feeeling fly fly like bitch don touch me ,HOF,PRFN,hasoc_2020_en_5320
1123675222836744192,i fucking love life ,HOF,PRFN,hasoc_2020_en_2265
1130306320991707136,in the newspaper i weak tears of joy tears of joy tears of joy bro this ending has pissed me off loudly crying face ,NOT,NONE,hasoc_2020_en_517
1123800523499552768,nobody angie you getting dick cus ur ass looks bigger ,HOF,OFFN,hasoc_2020_en_2451
1126830115424542720,rt oh look is now sending rudy giuliani to actively seek the assistance of foreign government to help trump i ,NOT,NONE,hasoc_2020_en_5234
1123589327718686720,rt bitches in real life be bird as fuck and only good for sex i sick ,HOF,OFFN,hasoc_2020_en_1111
1126821370292256770,hnnnng i need ,NOT,NONE,hasoc_2020_en_2645
1123642087835144192,it was obvious from the very beginning he always regarded himself as maverick which the pm letter also suggest ,NOT,NONE,hasoc_2020_en_2767
1130180122781331456,get surgical with that shit ,HOF,PRFN,hasoc_2020_en_3128
1126838638241828864,i really don want to start my weekend off this way yet here i am this vile post should be labeled lie ,NOT,NONE,hasoc_2020_en_723
1123694369859567622,such fucking beast honestly ,HOF,PRFN,hasoc_2020_en_2809
1123777438054584320,deltarunes tracks is fucking bangers all of em ,HOF,PRFN,hasoc_2020_en_1770
1123617043654246403,rt might fuck around and go missing for few months ,HOF,PRFN,hasoc_2020_en_1246
1130320959146057728,rt i mean honestly i ve seen lot of dumb shit on twitter but this one really is the dumbest so congrats emily ur stupid ,HOF,OFFN,hasoc_2020_en_884
1126970028983824385,rt newyorkc found dog alert he still missing and he still at the 28th somebody missing him please rt ,NOT,NONE,hasoc_2020_en_1258
1130165237200687104,have you booked hangman vs orange cassidy yet ,NOT,NONE,hasoc_2020_en_952
1130252294199623680,yeah i was shook when i found that out too lmao he very talented kid though he ,HOF,NONE,hasoc_2020_en_1173
1126855704877445121,think you are funny ,NOT,NONE,hasoc_2020_en_4490
1130241900697587712,rt holy shit i get the best fucking subs they have louis vuitton bags they re medical students they re lawyers and nurses ,HOF,PRFN,hasoc_2020_en_5343
1126948365437214720,i dont need youre whole life story when your shit is on public record tears of joy tears of joy tears of joy have look yourself ,HOF,PRFN,hasoc_2020_en_564
1123744454043680772,rt drug dealer i got that 3 5 for 25 me i don smoke drug dealer i got edibles and i know yo fat ass eat me ,HOF,PRFN,hasoc_2020_en_2995
1123656193317142532,you are losing fam ,NOT,NONE,hasoc_2020_en_3529
1123782588668239874,rt live congress president rahul gandhi addresses public meeting in hoshangabad madhya pradesh abhoganyay ,NOT,NONE,hasoc_2020_en_159
1123679836608835586,rt hhhoottttt 25 min raw 6 way fuck fest atlas grant avatar akyia ryan powers amp theknights see this and more ,HOF,PRFN,hasoc_2020_en_999
1126944175327522816,rt watch my son come out looking just like his damn daddy weary ,HOF,PRFN,hasoc_2020_en_3628
1130191799727853568,rt on andrea pirlo 40th birthday reminder of the time he had nobody to pass to so just decided to ping the bastard himse ,NOT,PRFN,hasoc_2020_en_4889
1130303099783008256,rt i have said on election you are voring for two different americas everything was on ballot and that was not enough your self ,NOT,NONE,hasoc_2020_en_1697
1126929713371406336,rt gujarati hindu india parents mother father mum dad truth love compassion child son daughter sanskaras maa ,NOT,NONE,hasoc_2020_en_3062
1126907613545811968,rt family entertainer movie by smiling with heart eyes total record uhm close record breaking smiling with sunglasses ,NOT,NONE,hasoc_2020_en_238
1130303481447763968,when i found out bran was going to be king ,NOT,NONE,hasoc_2020_en_1364
1130186259052163072,damn are you serious i just followed you this morning i left mine at the gym earlier today and now i ,NOT,NONE,hasoc_2020_en_4573
1130094009534296064,fuck charmander ,HOF,PRFN,hasoc_2020_en_2536
1130076351518642176,that why some boys fake relationship to fuck ,HOF,PRFN,hasoc_2020_en_808
1130045926029049857,rt there comes point where you no longer care if there light at the end of the tunnel or not you re just sick of the ,HOF,PRFN,hasoc_2020_en_3982
1123712195626512384,rt you ask do i really give fuck well here it is in this doink chat i would not sleep on this ,HOF,PRFN,hasoc_2020_en_1513
1126939905530187776,that new snap filter rlly showed me id fuck up the game if i was chickima whole ass bad bitch wow ,HOF,PRFN,hasoc_2020_en_2673
1126769344149483520,rt look at that ass ,HOF,OFFN,hasoc_2020_en_1929
1130312562124267520,i assuming you are talking about got but i don watch that show so i have no idea what you re talking about ,HOF,HATE,hasoc_2020_en_3785
1126742227978375169,rt if btsworld thinks i going to pick up calls at 2am like i did for mystic messenger you re damn right ,HOF,PRFN,hasoc_2020_en_1489
1123803388188266497,shit thats all that matters and you was never big so lets cut it ,NOT,NONE,hasoc_2020_en_528
1127044666661191680,embroidery would be good place to start children have very small hands that are well suited to fine needlework ,NOT,NONE,hasoc_2020_en_1018
1126878593160663040,rt fuck georgia law makers can i say that ,HOF,PRFN,hasoc_2020_en_5231
1123792336209707008,rt after talking to them cardi probably went to the next room and took off her clothes and posted that fucking pussy video on he ,HOF,PRFN,hasoc_2020_en_2668
1130309001185517573,missed the garage sale he usually gets one for father day or his birthday to add to his collection ,NOT,NONE,hasoc_2020_en_2748
1130236603291643905,shame on you ,HOF,OFFN,hasoc_2020_en_2855
1123491529115545601,rt eat shit grammar nazis ,HOF,OFFN,hasoc_2020_en_4315
1130145163253170182,rt in my dream you are with me ,NOT,NONE,hasoc_2020_en_810
1123622236227887109,i forgot how much buying concert tickets stresses me the fuck out ,HOF,PRFN,hasoc_2020_en_5039
1126979118065696768,bad deal was totally ruled out by the same vile idiot the europe and the rest of the world were going ,NOT,NONE,hasoc_2020_en_2458
1123653324383956993,i don like him for lot of reasons but never thought he played that game ,NOT,NONE,hasoc_2020_en_1474
1130296913167888388,they really exiled jon like fuck off ,HOF,PRFN,hasoc_2020_en_1192
1130256530413105152,rt facetime reconnecting me shit this my chance to hang up grinning with sweat ,HOF,PRFN,hasoc_2020_en_586
1126848394184482816,rt james comey is disgrace to the fbi amp will go down as the worst director in it is long and once proud history he broug ,NOT,HATE,hasoc_2020_en_422
1123605475789033472,rt put yo face in his ass squinting with tongue ,HOF,HATE,hasoc_2020_en_2563
1123588828571287552,president trump has exceeded all of my expectations not only is he stellar president he is wonde ,NOT,NONE,hasoc_2020_en_1056
1123672161011556354,rt we want to tell the world that the rulers of this country have looted the people adivasi author gladson dungdung wr ,NOT,NONE,hasoc_2020_en_1166
1127056498759282688,rockets are shit so no championships for james harden and chris paul tears of joy ,HOF,PRFN,hasoc_2020_en_3112
1123633959278129152,my mom told me once umuntu wahamba they must never come back cos you don know who you re dealing with babuya beshintshile ,NOT,NONE,hasoc_2020_en_707
1130284208654626818,aight imm go listen too igor again i fuck wit that album ,HOF,PRFN,hasoc_2020_en_1645
1126974974105935873,rt birth control is being counted as abortion why the fuck are men in charge of being able to make these laws ,HOF,PRFN,hasoc_2020_en_1439
1126770875045269505,have to keep telling my brain to shut the fuck up so i can get some sleep ,HOF,PRFN,hasoc_2020_en_2731
1130148166408400901,rt if you are sick of mosquitos ruining your day this is perfect for you buy now amp get extra 10 off use code new10 50 ,NOT,NONE,hasoc_2020_en_4194
1123497682159394816,go uste kaminaman ,NOT,NONE,hasoc_2020_en_4706
1130127312303865856,so my dad just told me that he like to eventually move to colorado even within the next few years bet ,NOT,NONE,hasoc_2020_en_218
1130250725513203713,omg this is the stupiest warning i have ever seen i am gonna go deaf from thunder really ,NOT,NONE,hasoc_2020_en_4572
1126818526558347264,rt the importer pays the tariffs you fucking moron you ve levied sales tax on yours own citizens ,HOF,HATE,hasoc_2020_en_4070
1126962949002813440,rt i have had this dress for over yet and i just now realized the bitch has p ,HOF,PRFN,hasoc_2020_en_3078
1126939578374340608,great news thank you pentagon to transfer 1 5 billion from afghanistan funding for trump bo ,NOT,NONE,hasoc_2020_en_2697
1126861128091480064,rt we hate nazis right we extra hate nazis who work for the nc division of prisons right glad you are on board this ,HOF,HATE,hasoc_2020_en_3341
1123510017611554817,rt while shias are protesting against enforced disappearances outside president house banned sectarian outfit aswj ,NOT,NONE,hasoc_2020_en_547
1123690414635192320,rt after trump retweets account it changes name to fuck donald trump ,HOF,PRFN,hasoc_2020_en_4421
1127063603922661376,bitch idgaf lmao ,HOF,PRFN,hasoc_2020_en_636
1126922595633221632,rt modi will never again represent the myriad dreams and aspirations of 2014 then he was messiah ushering in future too ,HOF,HATE,hasoc_2020_en_341
1126934629091545088,i do this shit with my eyes closed ,HOF,PRFN,hasoc_2020_en_1329
1130294992193433600,rt if muslims hate dogs beer bacon bikinis jesus amp freedom of speech why exactly do they come to america ,HOF,HATE,hasoc_2020_en_1910
1126972361046208513,oh shit here we go again deixem de estar tears of joy ,HOF,PRFN,hasoc_2020_en_2829
1130159944009953281,what the fuck and i thought that learning spanish was difficult this idiot come with that inclusive ,HOF,PRFN,hasoc_2020_en_1197
1130277506148392960,rt if he truly ever thought that james was danger to society or predator ,HOF,OFFN,hasoc_2020_en_2323
1123728633108078600,do you like to plan things out or be spontaneous i want to say i am planner but everything i do is spur of ,NOT,NONE,hasoc_2020_en_4183
1123498172884627457,and all the other complete and utter shite he spouts virtually everything he says is utter shite ,HOF,PRFN,hasoc_2020_en_70
1126842618648784897,you re sifting through the treasures and trash of your inner more for virgo ,NOT,NONE,hasoc_2020_en_4257
1123735939581394945,strawberry kiwi koolaid is my shit ,HOF,PRFN,hasoc_2020_en_2652
1123628464769249280,rt ai not no question if i want it i need it ,NOT,NONE,hasoc_2020_en_3039
1130035767412047873,rt mark this legendary date taekookers the day that taekook nation finally breathedt may fucking eighteen twenty nine ,HOF,PRFN,hasoc_2020_en_3611
